dataset,seed,arm,k,p,budget,mean_weight,amplification,balanced,f1
EColi,0,random_live,4,0.0,inf,2.75,1.0,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.01,1000.0,2.75,1.0376674465934355,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.01,10000.0,2.75,1.0376674465934355,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.01,inf,2.75,1.0376674465934355,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.05,1000.0,2.75,1.2109212307371928,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.05,10000.0,2.75,1.2109212307371928,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.05,inf,2.75,1.2109212307371928,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.1,1000.0,2.75,1.4928573929484261,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.1,10000.0,2.75,1.4928573929484261,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.1,inf,2.75,1.4928573929484261,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.2,1000.0,2.75,2.428112833822826,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.2,10000.0,2.75,2.428112833822826,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.2,inf,2.75,2.428112833822826,0.5570355731225296,0.20689655172413793
EColi,0,random_live,8,0.0,1000.0,2.75,1.0,0.7155467720685111,0.546875
EColi,0,random_live,8,0.0,10000.0,2.75,1.0,0.7155467720685111,0.546875
EColi,0,random_live,8,0.0,inf,2.75,1.0,0.7155467720685111,0.546875
EColi,0,random_live,8,0.01,1000.0,2.75,1.0376674465934355,0.7155467720685111,0.546875
EColi,0,random_live,8,0.01,10000.0,2.75,1.0376674465934355,0.7155467720685111,0.546875
EColi,0,random_live,8,0.01,inf,2.75,1.0376674465934355,0.7155467720685111,0.546875
EColi,0,random_live,8,0.05,1000.0,2.75,1.2109212307371928,0.7155467720685111,0.546875
EColi,0,random_live,8,0.05,10000.0,2.75,1.2109212307371928,0.7155467720685111,0.546875
EColi,0,random_live,8,0.05,inf,2.75,1.2109212307371928,0.7155467720685111,0.546875
EColi,0,random_live,8,0.1,1000.0,2.75,1.4928573929484261,0.7155467720685111,0.546875
EColi,0,random_live,8,0.1,10000.0,2.75,1.4928573929484261,0.7155467720685111,0.546875
EColi,0,random_live,8,0.1,inf,2.75,1.4928573929484261,0.7155467720685111,0.546875
EColi,0,random_live,8,0.2,1000.0,2.75,2.428112833822826,0.7155467720685111,0.546875
EColi,0,random_live,8,0.2,10000.0,2.75,2.428112833822826,0.7155467720685111,0.546875
EColi,0,random_live,8,0.2,inf,2.75,2.428112833822826,0.7155467720685111,0.546875
EColi,0,random_live,16,0.0,1000.0,2.5625,1.0,0.7802371541501976,0.6428571428571429
EColi,0,random_live,16,0.0,10000.0,2.5625,1.0,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.0,inf,2.5625,1.0,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.01,1000.0,2.5625,1.0350528391437552,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.01,10000.0,2.5625,1.0350528391437552,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.01,inf,2.5625,1.0350528391437552,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.05,1000.0,2.5625,1.1951563150770512,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.05,10000.0,2.5625,1.1951563150770512,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.05,inf,2.5625,1.1951563150770512,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.1,1000.0,2.5625,1.4522206855502258,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.1,10000.0,2.5625,1.4522206855502258,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.1,inf,2.5625,1.4522206855502258,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.2,1000.0,2.5625,2.28186257769278,0.7545586297760211,0.6074074074074074
EColi,0,random_live,16,0.2,10000.0,2.5625,2.28186257769278,0.7688801054018446,0.6323529411764706
EColi,0,random_live,16,0.2,inf,2.5625,2.28186257769278,0.7688801054018446,0.6323529411764706
EColi,0,random_live,32,0.0,1000.0,2.6875,1.0,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.0,10000.0,2.6875,1.0,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.0,inf,2.6875,1.0,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.01,1000.0,2.6875,1.0368055765603248,0.8367852437417655,0.7591240875912408
EColi,0,random_live,32,0.01,10000.0,2.6875,1.0368055765603248,0.8444400527009223,0.7737226277372263
