dataset,n_qubits,seed,k,arm,budget,shots_per_obs,dead_in_basis,wasted_shots,mean_abs_est_error,accuracy,balanced,f1
20News,4,1,64,random_all,inf,inf,31,0,0.0,0.6660482374768089,0.6565792047391511,0.7115384615384616
20News,4,2,16,spectral,1000.0,62.0,0,0,0.06466209936613677,0.7402597402597403,0.7339510351441305,0.77491961414791
20News,4,2,16,spectral,10000.0,625.0,0,0,0.021932921544401053,0.7365491651205937,0.7319061318892086,0.7694805194805194
20News,4,2,16,spectral,100000.0,6250.0,0,0,0.005731781839997556,0.7365491651205937,0.7319061318892086,0.7694805194805194
20News,4,2,16,spectral,inf,inf,0,0,0.0,0.7365491651205937,0.7319061318892086,0.7694805194805194
20News,4,2,16,random_live,1000.0,62.0,0,0,0.11658221077840933,0.660482374768089,0.6496023015738703,0.7099841521394612
20News,4,2,16,random_live,10000.0,625.0,0,0,0.02738350628728641,0.660482374768089,0.6496023015738703,0.7099841521394612
20News,4,2,16,random_live,100000.0,6250.0,0,0,0.009362804420730255,0.660482374768089,0.6496023015738703,0.7099841521394612
20News,4,2,16,random_live,inf,inf,0,0,0.0,0.660482374768089,0.6496023015738703,0.7099841521394612
20News,4,2,16,random_all,1000.0,62.0,10,620,0.06971080501295329,0.6567717996289425,0.6463868674902691,0.7058823529411765
20News,4,2,16,random_all,10000.0,625.0,10,6250,0.024348817032275778,0.6567717996289425,0.6463868674902691,0.7058823529411765
20News,4,2,16,random_all,100000.0,6250.0,10,62500,0.00886183708176838,0.6567717996289425,0.6463868674902691,0.7058823529411765
20News,4,2,16,random_all,inf,inf,10,0,0.0,0.6567717996289425,0.6463868674902691,0.7058823529411765
20News,4,2,32,spectral,1000.0,31.0,0,0,0.11971982348218704,0.7291280148423006,0.7254752637220059,0.761437908496732
20News,4,2,32,spectral,10000.0,312.0,0,0,0.04209682971784497,0.7291280148423006,0.7254752637220059,0.761437908496732
20News,4,2,32,spectral,100000.0,3125.0,0,0,0.013358686718285469,0.7291280148423006,0.7254752637220059,0.761437908496732
20News,4,2,32,spectral,inf,inf,0,0,0.0,0.7291280148423006,0.7254752637220059,0.761437908496732
20News,4,2,32,random_live,1000.0,31.0,0,0,0.1413944642435719,0.6753246753246753,0.6648050995656343,0.722662440570523
20News,4,2,32,random_live,10000.0,312.0,0,0,0.04232850677559015,0.6641929499072357,0.6539882664861512,0.712241653418124
20News,4,2,32,random_live,100000.0,3125.0,0,0,0.01354012245129227,0.6753246753246753,0.6648050995656343,0.722662440570523
20News,4,2,32,random_live,inf,inf,0,0,0.0,0.6753246753246753,0.6648050995656343,0.722662440570523
20News,4,2,32,random_all,1000.0,31.0,14,434,0.16587118148265234,0.673469387755102,0.6737321599819484,0.7037037037037037
20News,4,2,32,random_all,10000.0,312.0,14,4368,0.045167626859492944,0.6883116883116883,0.6848381000733345,0.7236842105263158
20News,4,2,32,random_all,100000.0,3125.0,14,43750,0.013189551590158857,0.673469387755102,0.6737321599819484,0.7037037037037037
20News,4,2,32,random_all,inf,inf,14,0,0.0,0.673469387755102,0.6737321599819484,0.7037037037037037
20News,4,2,64,spectral,1000.0,15.0,0,0,0.20518191990311677,0.7662337662337663,0.7605559316297175,0.797427652733119
20News,4,2,64,spectral,10000.0,156.0,0,0,0.06332361622880095,0.7662337662337663,0.7605559316297175,0.797427652733119
20News,4,2,64,spectral,100000.0,1562.0,0,0,0.01941300350201331,0.7662337662337663,0.7605559316297175,0.797427652733119
20News,4,2,64,spectral,inf,inf,0,0,0.0,0.7662337662337663,0.7605559316297175,0.797427652733119
20News,4,2,64,random_live,1000.0,15.0,0,0,0.19867316825291623,0.7068645640074211,0.7073531900490777,0.7348993288590604
20News,4,2,64,random_live,10000.0,156.0,0,0,0.06694538873592122,0.7068645640074211,0.7079384554634174,0.734006734006734
20News,4,2,64,random_live,100000.0,1562.0,0,0,0.01641294890230937,0.7068645640074211,0.7073531900490777,0.7348993288590604
20News,4,2,64,random_live,inf,inf,0,0,0.0,0.7068645640074211,0.7073531900490777,0.7348993288590604
20News,4,2,64,random_all,1000.0,15.0,30,450,0.1910355285503585,0.7050092764378478,0.701648615106899,0.7389162561576355
20News,4,2,64,random_all,10000.0,156.0,30,4680,0.06631110021760564,0.7050092764378478,0.7004780842782197,0.7406199021207178
20News,4,2,64,random_all,100000.0,1562.0,30,46860,0.020612105894489613,0.7050092764378478,0.701648615106899,0.7389162561576355
20News,4,2,64,random_all,inf,inf,30,0,0.0,0.7050092764378478,0.701648615106899,0.7389162561576355
