train_f1,test_f1,train_bal,test_bal,dataset,n_qubits,seed,arm,k,n_live,n_train,k_over_n,gap_f1,gap_bal
0.5286624203821656,0.512,0.6993644219736087,0.6994930428217021,EColi,4,1,random_live,8,136,1354,0.005908419497784343,0.016662420382165588,-0.00012862084809339702
0.5615141955835962,0.544,0.7162802997705107,0.7151601768956962,EColi,4,1,random_live,12,136,1354,0.008862629246676515,0.017514195583596126,0.0011201228748144443
0.5375,0.546875,0.7058860441767069,0.7200409880271815,EColi,4,1,random_live,16,136,1354,0.011816838995568686,-0.009375000000000022,-0.014154943850474666
0.7377521613832853,0.6666666666666666,0.8217154331612162,0.8061293280120807,EColi,4,1,random_live,24,136,1354,0.01772525849335303,0.07108549471661862,0.015586105149135498
0.7602339181286549,0.624113475177305,0.8299358146873208,0.7777478157696041,EColi,4,1,random_live,32,136,1354,0.023633677991137372,0.13612044295134995,0.05218799891771675
0.8046647230320699,0.6293706293706294,0.8537811962134252,0.7836128788695933,EColi,4,1,random_live,48,136,1354,0.03545051698670606,0.17529409366144055,0.07016831734383189
0.815028901734104,0.6428571428571429,0.8615936962134252,0.7865656347751051,EColi,4,1,random_live,64,136,1354,0.047267355982274745,0.17217175887696112,0.07502806143832008
0.813953488372093,0.6666666666666666,0.8594198221457258,0.8012485168805954,EColi,4,1,random_live,96,136,1354,0.07090103397341212,0.1472868217054264,0.05817130526513037
0.8173913043478261,0.6571428571428571,0.8620239888123924,0.7943992018121022,EColi,4,1,random_live,128,136,1354,0.09453471196454949,0.160248447204969,0.06762478700029018
0.8184438040345822,0.6527777777777778,0.8641978628800918,0.7982957609750836,EColi,4,1,random_live,136,136,1354,0.10044313146233383,0.16566602625680438,0.06590210190500823
0.0,0.0,0.5,0.5,EColi,4,2,spectral,1,136,1354,0.0007385524372230429,0.0,0.0
0.23574144486692014,0.26229508196721313,0.5639646034450123,0.5729482922201139,EColi,4,2,spectral,2,136,1354,0.0014771048744460858,-0.026553637100292987,-0.008983688775101584
0.2846975088967972,0.3851851851851852,0.5851315540412645,0.6287476280834915,EColi,4,2,spectral,3,136,1354,0.0022156573116691287,-0.100487676288388,-0.043616074042227004
0.3087719298245614,0.39705882352941174,0.5962426651523756,0.6346299810246679,EColi,4,2,spectral,4,136,1354,0.0029542097488921715,-0.08828689370485032,-0.03838731587229238
0.43508771929824563,0.4715447154471545,0.6539087639598713,0.6615156546489563,EColi,4,2,spectral,6,136,1354,0.004431314623338257,-0.03645699614890885,-0.007606890689085044
